Molecule Name,SMILES,Carbon,COOH,F,Cl,Br,I,OH,NO2,EWG_Pos,EWG_Flag,pKa
Formic acid,O=CO,1,1,0,0,0,0,0,0,0,0,3.75
Acetic acid,CC(=O)O,2,1,0,0,0,0,0,0,0,0,4.76
Propionic acid,CCC(=O)O,3,1,0,0,0,0,0,0,0,0,4.88
Butyric acid,CCCC(=O)O,4,1,0,0,0,0,0,0,0,0,4.82
Isobutyric acid,CC(C)C(=O)O,4,1,0,0,0,0,0,0,0,-1,4.84
Pivalic acid,CC(C)(C)C(=O)O,5,1,0,0,0,0,0,0,0,-1,5.03
2-Methylbutyric acid,CCC(C)C(=O)O,5,1,0,0,0,0,0,0,0,-1,4.8
Hexanoic acid,CCCCCC(=O)O,6,1,0,0,0,0,0,0,0,0,4.88
Heptanoic acid,CCCCCCC(=O)O,7,1,0,0,0,0,0,0,0,0,4.89
Nonanoic acid,CCCCCCCCC(=O)O,9,1,0,0,0,0,0,0,0,0,4.95
Decanoic acid,CCCCCCCCCC(=O)O,10,1,0,0,0,0,0,0,0,0,4.9
Valeric acid,CCCCC(=O)O,5,1,0,0,0,0,0,0,0,0,4.82
Dimethylbutyric acid,CCC(C)(C)C(=O)O,6,1,0,0,0,0,0,0,0,-1,5.05
Oxalic acid,O=C(O)C(=O)O,2,2,0,0,0,0,0,0,1,1,1.25
Malonic acid,O=C(O)CC(=O)O,3,2,0,0,0,0,0,0,1,1,2.85
Succinic acid,OC(=O)CCC(=O)O,4,2,0,0,0,0,0,0,2,1,4.21
Glutaric acid,O=C(O)CCCC(=O)O,5,2,0,0,0,0,0,0,3,1,4.34
Adipic acid,OC(=O)CCCCC(=O)O,6,2,0,0,0,0,0,0,0,0,4.43
Tricarballylic acid,O=C(O)CC(CC(=O)O)C(=O)O,6,3,0,0,0,0,0,0,1,1,3.49
Citric acid,O=C(O)CC(O)(CC(=O)O)C(=O)O,6,3,0,0,0,0,1,0,1,1,3.13
Bromoacetic acid,BrCC(=O)O,2,1,0,0,1,0,0,0,1,1,2.9
Chloroacetic acid,ClCC(=O)O,2,1,0,1,0,0,0,0,1,1,2.87
Fluoroacetic acid,FCC(=O)O,2,1,1,0,0,0,0,0,1,1,2.59
Dichloroacetic acid,ClC(Cl)C(=O)O,2,1,0,2,0,0,0,0,1,1,1.26
Trichloroacetic acid,ClC(Cl)(Cl)C(=O)O,2,1,0,3,0,0,0,0,1,1,0.51
2-Chloropropanoic acid,CC(Cl)C(=O)O,3,1,0,1,0,0,0,0,1,1,2.83
3-Chloropropanoic acid,ClCCC(=O)O,3,1,0,1,0,0,0,0,2,1,3.98
2-Chlorobutanoic acid,CCC(Cl)C(=O)O,4,1,0,1,0,0,0,0,1,1,2.86
4-Chlorobutanoic acid,ClCCCC(=O)O,4,1,0,1,0,0,0,0,3,1,4.52
Glycolic acid,OCC(=O)O,2,1,0,0,0,0,1,0,1,1,3.83
Lactic acid,CC(O)C(=O)O,3,1,0,0,0,0,1,0,1,1,3.86
Tartaric acid,O=C(O)C(O)C(O)C(=O)O,4,2,0,0,0,0,2,0,1,1,2.98
Malic acid,O=C(O)CC(O)C(=O)O,4,2,0,0,0,0,1,0,1,1,3.4
Nitroacetic acid,O=[N+]([O-])CC(=O)O,2,1,0,0,0,0,0,1,1,1,1.68
3-Nitropropionic acid,O=[N+]([O-])CCC(=O)O,3,1,0,0,0,0,0,1,2,1,3.98
4-Nitrobutanoic acid,O=[N+]([O-])CCCC(=O)O,4,1,0,0,0,0,0,1,3,1,4.4
3-Hydroxypropanoic acid,OCCC(=O)O,3,1,0,0,0,0,1,0,2,1,4.51
2-Fluoropropanoic acid,CC(F)C(=O)O,3,1,1,0,0,0,0,0,1,1,2.68
3-Bromopropanoic acid,BrCCC(=O)O,3,1,0,0,1,0,0,0,2,1,4.01
Pyruvic acid,CC(=O)C(=O)O,3,1,0,0,0,0,0,0,1,1,2.45
Methacrylic acid,C=C(C)C(=O)O,4,1,0,0,0,0,0,0,0,0,4.65
Cyanoacetic acid,N#CCC(=O)O,3,1,0,0,0,0,0,0,1,1,2.45
Octanoic acid,CCCCCCCC(=O)O,8,1,0,0,0,0,0,0,0,0,4.89
3-Chlorobutanoic acid,CC(Cl)CC(=O)O,4,1,0,1,0,0,0,0,2,1,4.05
Iodoacetic acid,ICC(=O)O,2,1,0,0,0,1,0,0,1,1,3.16
Phenylglyoxylic acid,O=C(O)C(=O)c1ccccc1,8,1,0,0,0,0,0,0,1,1,2.15
